是否有效	检测结果	图片URL
0	"{""result"":0,""spots"":{""A"":0,""B"":0,""C"":0,""D"":0,""E"":0},""color"":0}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/26cc8c010ba34754a8ff7e48a103618a.png
0	"{""result"":0,""spots"":{""A"":0,""B"":0,""C"":0,""D"":0,""E"":0},""color"":0}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/f57938c886784eb2a99cc80cc4e559e6.png
1	"{""result"":1,""spots"":{""A"":1,""B"":0,""C"":3,""D"":1,""E"":1},""color"":5}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/8eeb9d1fc9dd445bb135770fadff450f.png
1	"{""result"":1,""spots"":{""A"":1,""B"":3,""C"":0,""D"":0,""E"":0},""color"":5}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/21b67655a2c443eca612de98e8f05488.png
1	"{""result"":1,""spots"":{""A"":1,""B"":2,""C"":0,""D"":0,""E"":0},""color"":5}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/621052cd87af4c429d5786d39db6b9ab.png
1	"{""result"":1,""spots"":{""A"":2,""B"":1,""C"":3,""D"":2,""E"":0},""color"":5}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/ee71195104014fbbbadf317ed1d06a4b.png
1	"{""result"":1,""spots"":{""A"":2,""B"":0,""C"":5,""D"":0,""E"":0},""color"":5}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/a4e68cc8375a4562b03799f6435805ae.png
1	"{""result"":1,""spots"":{""A"":3,""B"":10,""C"":43,""D"":0,""E"":0},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/0e0410b8f857467fb8b6c41896a80abe.png
1	"{""result"":1,""spots"":{""A"":8,""B"":10,""C"":31,""D"":2,""E"":0},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/cf471d729d90466c81f19306b75b40af.png
1	"{""result"":1,""spots"":{""A"":3,""B"":5,""C"":39,""D"":0,""E"":0},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/1c5fe3131c564f34a277a5b8a1e94f0a.png
1	"{""result"":1,""spots"":{""A"":4,""B"":5,""C"":48,""D"":0,""E"":1},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/60e8b8a7e41644399816e1cbe99e7f06.png
1	"{""result"":1,""spots"":{""A"":2,""B"":5,""C"":46,""D"":0,""E"":1},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/bf622b0bc5324fb5b36bd06962ecc23c.png
1	"{""result"":1,""spots"":{""A"":1,""B"":4,""C"":33,""D"":0,""E"":0},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/50f78c3b5118498f96bc7df0ad99ebf5.png
1	"{""result"":1,""spots"":{""A"":8,""B"":8,""C"":32,""D"":0,""E"":4},""color"":3}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/012a1ed33e2c4605af93c55240c3bb00.png
1	"{""result"":1,""spots"":{""A"":6,""B"":2,""C"":50,""D"":2,""E"":1},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/3d69273735f8489b96d87a2ca6f17679.png
1	"{""result"":1,""spots"":{""A"":2,""B"":12,""C"":83,""D"":1,""E"":1},""color"":4}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/ab4fa8eb607f4a4c80ff05286c9d311e.png
1	"{""result"":1,""spots"":{""A"":6,""B"":8,""C"":0,""D"":4,""E"":0},""color"":2}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/e527aa7b86b24867b72ce015d3136442.png
1	"{""result"":1,""spots"":{""A"":1,""B"":0,""C"":0,""D"":0,""E"":0},""color"":3}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/1d3a0c552399437a9802fea0a654e9cd.png
1	"{""result"":1,""spots"":{""A"":3,""B"":0,""C"":1,""D"":0,""E"":0},""color"":1}"	http://daboo-smarthome-vedio-hangzhou.oss-cn-hangzhou.aliyuncs.com/file/api/29f90421f1ea46008e521a05b0c77af7.png
